family,title,abstract,applicants,inventors,dates,classes
40029134,"MODIFIED T CELL RECEPTORS AND RELATED MATERIALS AND METHODS","The invention is directed to a modified T cell receptor (TCR) comprising an amino acid sequence of a wild-type (WT) TCR with one or more amino acid substitutions in the CDR2 and/or CDR3 regions of the alpha and/or beta chains of the TCR, wherein the modified TCR, as compared to the WT TCR, (i) has an enhanced ability to recognize target cells when expressed by CD4+ T cells and/or CD8+ T cells and (ii) does not exhibit a decrease in antigen specificity when expressed by the CD4+ T cells and/or CD8+ T cells. Polypeptides, proteins, nucleic acids, recombinant expression vectors, host cells, populations of cells, antibodies, and pharmaceutical compositions related to the modified TCR also are part of the invention. Further, the invention is directed to methods of treating or preventing a disease in a host and methods of detecting a diseased cell in a host.",us health[us]; robbins paul f[us]; rosenberg steven a[us]; morgan richard a[us],robbins paul f[us]; rosenberg steven a[us]; morgan richard a[us],20090402;20090604,C07K14/705;C07K14/705
60419980,"T CELL RECEPTORS AND IMMUNE THERAPY USING THE SAME","The present invention pertains to antigen recognizing constructs against COL6A3 antigens. The invention in particular provides novel T cell receptor (TCR) based molecules which are selective and specific for the tumor expressed antigen COL6A3. The TCR of the invention, and COL6A3 antigen binding fragments derived therefrom, are of use for the diagnosis, treatment and prevention of COL6A3 expressing cancerous diseases. Further provided are nucleic acids encoding the antigen recognizing constructs of the invention, vectors comprising these nucleic acids, recombinant cells expressing the antigen recognizing constructs and pharmaceutical compositions comprising the compounds of the invention.",immatics biotechnologies gmbh[de],alten leonie[de]; maurer dominik[de]; walter steffen[us]; bunk sebastian[de],20180222,C07K14/78;A61K45/06;C07K14/7051;C07K16/18;C07K2317/92;C07K2319/00;C07K16/2803;A61P35/00;A61K39/00;A61K2039/505;C07K2317/32
37864851,"T-CELL RECEPTOR AND NUCLEIC ACID ENCODING THE RECEPTOR","A polypeptide which comprises a polypeptide comprising the amino acid sequence depicted in SEQ ID NO:5 in the Sequence Listing or a polypeptide comprising an amino acid sequence having the deletion, addition, insertion or substitution of one to several amino acid residues in the amino acid sequence depicted in SEQ ID NO:5 and constitutes, together with a polypeptide comprising the amino acid sequence depicted in SEQ ID NO:2 in the Sequence Listing, an HLA-A24-restricted, MAGE-A4143-151-specific T-cell receptor.",univ mie[jp]; takara bio inc[jp]; shiku hiroshi; hiasa atsunori; okumura satoshi; naota hiroaki; miyahara yoshihiro,shiku hiroshi; hiasa atsunori; okumura satoshi; naota hiroaki; miyahara yoshihiro,20070322,C07K14/7051;C12N5/0636;A61K38/00;A61K35/12;C12N2501/515;C12N2510/00;C07K14/705
42781498,"","",,,20120920,C07K14/705;C07K14/7051;G01N33/56988;C07K14/70503
75278397,"WPRE MUTANT CONSTRUCTS, COMPOSITIONS, AND METHODS THEREOF","The present invention provides a mutated woodchuck post-transcriptional regulatory element (WPRE). In particular, the present invention relates to a mutated WPRE sequence that can efficiently express nucleotides of interest in a retroviral vector system. The present invention also relates to methods of delivering and expressing nucleotides of interest to a target cell.",immatics us inc[us],mata melinda[us]; kalra mamta[us]; bulliard yannick[us]; walter steffen[us]; mohamed ali[us],20210916,C07K14/525;C07K14/57;C07K14/7051;C07K14/7051;C12N5/0636;C12N15/102;C12N15/113;C12N15/86;C12N15/86;C12P21/02;C12N2500/10;C12N2740/16043;C12N2830/48;C12N2830/48;C12N2840/203
67905215,"GENE-REGULATING COMPOSITIONS AND METHODS FOR IMPROVED IMMUNOTHERAPY","The present disclosure provides methods and compositions related to the modification of immune effector cells to increase therapeutic efficacy. In some embodiments, immune effector cells modified to reduce expression of one or more endogenous target genes, or to reduce one or more functions of an endogenous protein to enhance effector functions of the immune cells are provided. In some embodiments, immune effector cells further modified by introduction of transgenes conferring antigen specificity, such as exogenous T cell receptors (TCRs) or chimeric antigen receptors (CARs) are provided. Methods of treating a cell proliferative disorder, such as a cancer, using the modified immune effector cells described herein are also provided.",ksq therapeutics inc[us],benson micah[us]; merkin jason[us]; kryukov gregory v[us]; shenker solomon martin[us]; schlabach michael[us]; tubo noah[us],20200611,A61K35/17;A61K35/17;A61K39/0011;A61K39/001104;A61K39/001106;A61K39/001112;A61K39/001153;A61K39/001188;A61K39/001191;A61K39/39541;A61P35/00;A61P35/00;A61P35/02;A61P35/02;A61P35/04;A61P35/04;C07K14/7051;C07K14/70517;C07K16/2803;C07K16/2803;C07K16/2818;C07K16/2863;C07K16/32;C12N5/0636;C12N5/0636;C12N9/22;C12N9/22;C12N15/11;C12N15/113;C12N15/1138;A61K2035/124;A61K38/00;A61K38/00;A61K2039/505;A61K2039/505;A61K2039/5156;A61K2039/5158;C07K2317/622;C07K2317/622;C07K2319/03;C07K2319/03;C07K2319/30;C07K2319/33;C12N2310/122;C12N2310/14;C12N2310/14;C12N2310/20;C12N2310/20;C12N2510/00;C12N2800/80
58410360,"CHIMERIC ANTIGEN RECEPTOR","The present invention is directed to a nucleic acid molecule comprising a polynucleotide sequence encoding a chimeric antigen receptor comprising (a) an anti-CLEC14A binding domain, (b) a transmembrane domain and (c) an intracellular signalling domain; wherein said anti-CLEC14A binding domain is capable of binding to the C- type lectin domain of CLEC14A. The invention further provides a chimeric antigen receptor encoded by the nucleic acid molecule, a vector comprising the nucleic acid molecule, a cell comprising the nucleic acid molecule, vector or CAR and the therapeutic use of the nucleic acid, vector or cell, particularly in treating CLEC14A expressing conditions.",cancer res tech ltd[gb]; the univ of birmingham[gb]; cell therapy catapult ltd[gb],bicknell roy[gb]; lee steven[gb]; mount natalie[gb]; sharpe michaela[gb],20170921,A61P35/00;C12N15/62;C07K16/2851;A61K2039/505;C07K2317/622;C07K2317/70;C07K2319/03;C07K2319/33;A61K35/17;C07K14/495;C07K14/52;C07K14/70596;C07K14/15;C12N15/85
64813900,"AFFT2 CELL","The disclosure relates to an AFFT2 cell and a preparation method thereof. According to an embodiment, the cell is transformed with the TCR-T technology. The transformed T cells are blocked in vitro by an antibody drug of suppressive signaling molecules. According to another embodiment, a predicted antigen epitope is centered on a mutant amino acid site, the predicted antigen epitope extends 10 amino acids to each side of the mutant amino acid site, and the predicted antigen epitope serves as a potential antigen epitope. According to a further embodiment, TCR genes in a peripheral blood cell of a patient are knocked out by a CRISPR technology.",beijing dcty biotech co ltd[cn],jiao shunchang[cn]; zhang rong[cn]; zhou zishan[cn]; xie jiasen[cn]; chen xiaobin[cn]; peng gang[cn]; chen hongli[cn],20200402,C07K14/7051;C07K14/7051;C07K14/7051;C12N5/0638;C12N5/0638;C12N5/0638;C12N5/064;C12N5/064;C12N15/86;C12N15/907;C12N2502/1121;C12N2510/00;C12N2510/00;C12N2740/15043;C12N2740/16043;C12N2800/80;C12N2810/10;C12N2810/80
31969526,"Method for rational mutagenesis of α/βT-cell receptors and correspondingly mutated MDM2-protein specific α/βT-cell receptors","The invention relates to the rational mutagenesis of polypeptides of α/β T-cell receptors that mediate an oncogen-specific T-cell response, nucleic acids encoding these and their use in the therapy, diagnosis and/or prevention of cancerous diseases. The invention further relates to a T-cell response-mediating MDM2-protein-specific α/β T-cell receptor, which has been rationally mutated by means of the method according to the present invention, and the uses thereof.",voss ralf-holger[de]; matthias theobald[de]; univ mainz johannes gutenberg[de],voss ralf-holger[de]; matthias theobald[de],20150623,C07K14/435;C07K14/7051;C07K14/7051;C07H21/04;C12N15/63;C12N15/63
66185209,"LRFFT2 CELL","Some embodiments of the disclosure use human peripheral blood for ctDNA sequencing or tumor tissues for whole exome sequencing, screen out mutation sites to perform antigen epitope prediction, connect and synthesize an expression gene sequence of mutant peptides. Other embodiments of the disclosure construct a lentiviral vector, package the lentivirus, transfect an APC cell to complete transformation of a specific LV cell, co-culture in vitro with PBMC separated from the peripheral blood, screen out an effective polypeptide, and transform common T cells into RFF cells. Suppressive signaling molecules include one or more of PD-1, Tim-3, LAG3, CTLA-4, BTLA, VISTA, CD160, and 2B4 (CD244). Antigen presenting cells include one or more of PBMC, a dendritic cell, neutrophil, B lymphocyte, and macrophage.",jiao shunchang[cn]; beijing dcty biotech co ltd[cn],jiao shunchang[cn]; zhang rong[cn]; zhang tianfu[cn]; zhou zishan[cn]; xie jiasen[cn]; wu ziming[cn]; peng gang[cn],20200402,A61P35/00;C07K14/7051;C07K14/7051;C07K14/7051;C12N5/0636;C12N5/0636;C12N5/0636;C12N7/00;C12N9/22;C12N15/11;C12N15/113;C12N15/86;C12N15/86;C12N15/907;G01N33/505;C12N2310/20;C12N2310/20;C12N2501/998;C12N2502/11;C12N2510/00;C12N2510/00;C12N2510/00;C12N2740/15043;C12N2740/15043;C12N2740/16043;C12N2800/80;C12N2810/10
